data_referencia,torre,apartamento,consumo_m3,valor_conta
2023-06,A,17,7.75,42.12
2023-07,A,17,5.96,35.86
2023-08,A,17,4.53,30.86
2023-09,A,17,5.2,33.2
2023-10,A,17,4.99,32.47
2023-11,A,17,7.56,41.46
2023-12,A,17,7.61,41.64
2024-01,A,17,6.07,36.25
2024-02,A,17,5.54,34.39
2024-03,A,17,6.04,36.14
2024-04,A,17,8.79,45.77
2024-05,A,17,6.53,37.86
2024-06,A,17,8.29,44.02
2024-07,A,17,8.85,45.97
2024-08,A,17,8.95,46.32
2024-09,A,17,5.94,35.79
2024-10,A,17,6.99,39.47
2024-11,A,17,8.72,45.52
2024-12,A,17,6.47,37.64
2022-01,A,18,13.0,65.0
2022-02,A,18,15.05,75.25
2022-03,A,18,10.24,51.2
2022-04,A,18,14.78,73.9
2022-05,A,18,14.86,74.3
2022-06,A,18,10.51,52.55
2022-07,A,18,17.01,85.05
2022-08,A,18,11.82,59.1
2022-09,A,18,9.68,48.88
2022-10,A,18,14.15,70.75
2022-11,A,18,9.71,48.98
2022-12,A,18,12.82,64.1
2023-01,A,18,10.48,52.4
2023-02,A,18,9.62,48.67
2023-03,A,18,10.23,51.15
2023-04,A,18,11.76,58.8
2023-05,A,18,11.57,57.85
2023-06,A,18,12.52,62.6
2023-07,A,18,14.53,72.65
2023-08,A,18,12.92,64.6
2023-09,A,18,13.21,66.05
2023-10,A,18,14.04,70.2
2023-11,A,18,10.31,51.55
2023-12,A,18,13.13,65.65
2024-01,A,18,10.73,53.65
2024-02,A,18,15.04,75.2
2024-03,A,18,10.48,52.4
2024-04,A,18,8.95,46.32
2024-05,A,18,13.8,69.0
2024-06,A,18,10.34,51.7
2024-07,A,18,14.07,70.35
2024-08,A,18,10.74,53.7
2024-09,A,18,10.35,51.75
2024-10,A,18,11.8,59.0
2024-11,A,18,10.54,52.7
2024-12,A,18,8.78,45.73
2022-01,A,19,5.75,35.12
2022-02,A,19,6.96,39.36
2022-03,A,19,4.93,32.25
2022-04,A,19,5.66,34.81
2022-05,A,19,4.81,31.83
2022-06,A,19,7.81,42.33
2022-07,A,19,7.47,41.14
2022-08,A,19,3.87,28.55
2022-09,A,19,9.24,47.34
2022-10,A,19,7.54,41.39
2022-11,A,19,7.4,40.9
2022-12,A,19,4.67,31.34
2023-01,A,19,6.8,38.8
2023-02,A,19,4.34,30.19
2023-03,A,19,6.74,38.59
2023-04,A,19,6.23,36.8
2023-05,A,19,4.7,31.45
2023-06,A,19,5.78,35.23
2023-07,A,19,8.84,45.94
2023-08,A,19,5.92,35.72
2023-09,A,19,5.0,32.5
2023-10,A,19,7.17,40.09
2023-11,A,19,6.93,39.25
2023-12,A,19,7.23,40.3
2024-01,A,19,4.4,30.4
2024-02,A,19,7.12,39.92
2024-03,A,19,7.71,41.98
2024-04,A,19,4.88,32.08
2024-05,A,19,8.6,45.1
2024-06,A,19,7.62,41.67
2024-07,A,19,7.46,41.11
2024-08,A,19,8.7,45.45
2024-09,A,19,4.36,30.26
2024-10,A,19,7.09,39.81
2024-11,A,19,7.12,39.92
2024-12,A,19,4.91,32.19
2022-01,A,20,10.27,51.35
2022-02,A,20,14.04,70.2
2022-03,A,20,14.16,70.8
2022-04,A,20,13.09,65.45
2022-05,A,20,9.35,47.73
2022-06,A,20,15.18,75.9
2022-07,A,20,12.89,64.45
2022-08,A,20,10.0,50.0
2022-09,A,20,13.82,69.1
2022-10,A,20,14.31,71.55
2022-11,A,20,14.08,70.4
2022-12,A,20,12.34,61.7
2023-01,A,20,14.23,71.15
2023-02,A,20,11.88,59.4
2023-03,A,20,12.43,62.15
2023-04,A,20,10.3,51.5
2023-05,A,20,13.27,66.35
2023-06,A,20,14.77,73.85
2023-07,A,20,13.95,69.75
2023-08,A,20,12.73,63.65
2023-09,A,20,11.61,58.05
2023-10,A,20,12.11,60.55
2023-11,A,20,12.72,63.6
2023-12,A,20,12.13,60.65
2024-01,A,20,12.58,62.9
2024-02,A,20,9.32,47.62
2024-03,A,20,9.46,48.11
2024-04,A,20,14.09,70.45
2024-05,A,20,10.61,53.05
2024-06,A,20,12.63,63.15
2024-07,A,20,14.41,72.05
2024-08,A,20,9.41,47.94
2024-09,A,20,12.06,60.3
2024-10,A,20,11.03,55.15
2024-11,A,20,14.38,71.9
2024-12,A,20,9.17,47.09
2022-01,A,21,18.57,92.85
2022-02,A,21,15.52,77.6
2022-03,A,21,18.27,91.35
2022-04,A,21,15.61,78.05
2022-05,A,21,16.08,80.4
2022-06,A,21,19.49,97.45
2022-07,A,21,23.69,127.68
2022-08,A,21,19.89,99.45
2022-09,A,21,19.04,95.2
2022-10,A,21,22.82,121.15
2022-11,A,21,20.63,104.72
2022-12,A,21,17.82,89.1
2023-01,A,21,22.99,122.42
2023-02,A,21,17.43,87.15
2023-03,A,21,22.39,117.93
2023-04,A,21,20.48,103.6
2023-05,A,21,23.55,126.62
2023-06,A,21,22.93,121.97
2023-07,A,21,20.98,107.35
2023-08,A,21,23.04,122.8
2023-09,A,21,18.1,90.5
2023-10,A,21,19.95,99.75
2023-11,A,21,20.07,100.53
2023-12,A,21,18.13,90.65
2024-01,A,21,22.4,118.0
2024-02,A,21,15.82,79.1
2024-03,A,21,23.45,125.88
2024-04,A,21,23.9,129.25
2024-05,A,21,21.56,111.7
2024-06,A,21,16.7,83.5
2024-07,A,21,25.07,138.03
2024-08,A,21,20.07,100.53
2024-09,A,21,20.27,102.02
2024-10,A,21,16.73,83.65
2024-11,A,21,18.8,94.0
2024-12,A,21,17.83,89.15
2022-01,A,22,8.56,44.96
2022-02,A,22,5.01,32.53
2022-03,A,22,8.73,45.55
2022-04,A,22,6.37,37.3
2022-05,A,22,6.51,37.78
2022-06,A,22,8.13,43.45
2022-07,A,22,4.03,29.11
2022-08,A,22,7.85,42.47
2022-09,A,22,5.06,32.71
2022-10,A,22,7.87,42.55
2022-11,A,22,8.7,45.45
2022-12,A,22,4.54,30.89
2023-01,A,22,4.69,31.42
2023-02,A,22,4.93,32.25
2023-03,A,22,7.96,42.86
2023-04,A,22,4.86,32.01
2023-05,A,22,5.31,33.58
2023-06,A,22,5.21,33.23
2023-07,A,22,5.44,34.04
2023-08,A,22,6.93,39.25
2023-09,A,22,5.69,34.92
2023-10,A,22,3.87,28.55
2023-11,A,22,6.17,36.59
2023-12,A,22,5.61,34.64
2024-01,A,22,6.96,39.36
2024-02,A,22,4.58,31.03
2024-03,A,22,7.71,41.98
2024-04,A,22,9.06,46.71
2024-05,A,22,8.97,46.4
2024-06,A,22,7.25,40.38
2024-07,A,22,6.19,36.67
2024-08,A,22,8.8,45.8
2024-09,A,22,5.58,34.53
2024-10,A,22,6.69,38.42
2024-11,A,22,6.9,39.15
2024-12,A,22,4.29,30.02
2022-01,A,23,8.32,44.12
2022-02,A,23,7.15,40.03
2022-03,A,23,6.17,36.59
2022-04,A,23,5.25,33.38
2022-05,A,23,5.7,34.95
2022-06,A,23,7.93,42.75
2022-07,A,23,5.69,34.92
2022-08,A,23,7.95,42.83
2022-09,A,23,6.49,37.72
2022-10,A,23,9.08,46.78
2022-11,A,23,6.59,38.06
2022-12,A,23,6.19,36.67
2023-01,A,23,7.43,41.0
2023-02,A,23,6.31,37.08
2023-03,A,23,4.66,31.31
2023-04,A,23,8.43,44.5
2023-05,A,23,4.3,30.05
2023-06,A,23,6.88,39.08
2023-07,A,23,7.04,39.64
2023-08,A,23,4.5,30.75
2023-09,A,23,6.84,38.94
2023-10,A,23,4.17,29.59
2023-11,A,23,6.78,38.73
2023-12,A,23,6.86,39.01
2024-01,A,23,4.76,31.66
2024-02,A,23,8.2,43.7
2024-03,A,23,8.65,45.28
2024-04,A,23,8.29,44.02
